"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-01",,"46","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-02",,"50","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-03",,"45","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-04",,"50","44"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-05",,"48","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-06",,"49","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-07",,"45","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-08",,"44","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-09",,"48","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-10",,"46","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-11",,"47","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-12",,"51","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-13",,"45","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-14",,"42","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-15",,"52","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-16",,"53","44"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-17",,"49","45"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-18",,"49","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-19",,"42","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-20",,"45","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-21",,"44","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-22",,"40","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-23",,"39","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-24",,"42","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-25",,"40","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-26",,"40","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-27",,"38","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-28",,"39","34"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-29",,"42","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-30",,"43","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","1999-12-31",,"41","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-01",,"44","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-02",,"41","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-03",,"44","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-04",,"50","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-05",,"44","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-06",,"42","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-07",,"45","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-08",,"47","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-09",,"43","33"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-10",,"40","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-11",,"40","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-12",,"41","34"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-13",,"42","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-14",,"43","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-15",,"44","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-16",,"47","34"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-17",,"45","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-18",,"44","34"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-19",,"42","30"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-20",,"43","34"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-21",,"44","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-22",,"44","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-23",,"46","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-24",,"45","33"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-25",,"43","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-26",,"45","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-27",,"45","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-28",,"44","32"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-29",,"45","32"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-30",,"50","31"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-01-31",,"47","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-01",,"52","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-02",,"48","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-03",,"47","33"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-04",,"50","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-05",,"45","34"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-06",,"50","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-07",,"49","44"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-08",,"49","45"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-09",,"48","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-10",,"45","33"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-11",,"43","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-12",,"47","37"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-13",,"48","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-14",,"45","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-15",,"49","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-16",,"47","32"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-17",,"45","32"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-18",,"45","32"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-19",,"52","33"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-20",,"51","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-21",,"49","44"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-22",,"55","45"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-23",,"48","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-24",,"47","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-25",,"48","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-26",,"52","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-27",,"47","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-28",,"47","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-02-29",,"48","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-01",,"47","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-02",,"47","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-03",,"47","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-04",,"49","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-05",,"48","35"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-06",,"50","33"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-07",,"50","38"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-08",,"52","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-09",,"48","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-10",,"55","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-11",,"52","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-12",,"47","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-13",,"52","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-14",,,"41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-15",,"54","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-16",,"52","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-17",,"46","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-18",,"50","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-19",,"50","40"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-20",,"49","39"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-21",,"51","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-22",,"53","45"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-23",,"52","44"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-24",,"52","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-25",,"55","44"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-26",,"55","43"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-27",,"54","45"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-28",,"51","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-29",,"54","36"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-30",,"58","41"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-03-31",,"57","42"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-04-01",,"59","45"
"CA001108446","VANCOUVER HARBOUR CS, BC CA","49.3","-123.1167","3.0","2000-04-02",,"61","47"
